timestep,average_reward
100,-10.432731
200,-3.506446
300,-5.647136
400,-2.8604443
500,-3.0981562
600,-2.2525
700,-3.246839
800,-2.810282
900,-1.7611514
1000,-2.1736825
1100,-2.038825
1200,-2.5847628
1300,-2.6397097
1400,-2.264039
1500,-2.0401347
1600,-1.9541866
1700,-2.6489716
1800,-2.397563
1900,-3.1790147
2000,-3.021398
2100,-3.1892853
2200,-2.956154
2300,-2.358816
2400,-2.9808836
2500,-2.8820934
2600,-2.9849246
2700,-2.5356328
2800,-2.8040757
2900,-2.9602876
3000,-2.7432284
3100,-2.9685524
3200,-3.1308432
3300,-1.6423843
3400,-2.9042728
3500,-1.9648584
3600,-2.9050052
3700,-2.828088
3800,-2.6781104
3900,-1.9917542
4000,-2.9953122
4100,-3.0642037
4200,-2.9972317
4300,-2.4968035
4400,-2.9500408
4500,-3.1266305
4600,-1.5859032
4700,-2.3705585
4800,-2.5124922
4900,-3.0143185
5000,-3.1084967
5100,-3.204091
5200,-3.018857
5300,-1.9360588
5400,-2.0265357
5500,-1.45506
5600,-3.115885
5700,-3.0360327
5800,-1.9854646
5900,-2.6525156
6000,-1.93493
6100,-1.5730562
6200,-3.1117258
6300,-1.5875752
6400,-3.6254635
6500,-2.8689575
6600,-3.1592727
6700,-1.5647669
6800,-1.9665549
6900,-3.3360772
7000,-2.7035952
7100,-3.5161207
7200,-3.027385
7300,-3.7687109
7400,-2.0653076
7500,-3.0601215
7600,-1.6300001
7700,-3.1485605
7800,-3.7217922
7900,-3.3842156
8000,-3.561168
8100,-3.736884
8200,-4.154895
8300,-3.6232882
8400,-3.7079248
8500,-4.4025807
8600,-1.6308622
8700,-3.5664167
8800,-1.8336984
8900,-2.1703095
9000,-3.7621598
9100,-1.6274704
9200,-1.6442494
9300,-3.9833395
9400,-1.6120282
9500,-3.2541552
9600,-3.3459463
9700,-3.571713
9800,-3.5314715
9900,-2.1256337
10000,-3.93036
10100,-2.231282
10200,-1.9557745
10300,-4.5484056
10400,-3.429999
10500,-4.4490395
10600,-3.6294885
10700,-1.6436555
10800,-2.1451924
10900,-4.0031743
11000,-4.431904
11100,-1.9623314
11200,-3.8806264
11300,-1.9432373
11400,-3.6730826
11500,-4.6323094
11600,-4.2140675
11700,-1.8516558
11800,-1.8671297
11900,-3.5488193
12000,-3.8704247
12100,-3.433243
12200,-1.6533995
12300,-3.9267826
12400,-3.9587858
12500,-3.6981833
12600,-3.3766918
12700,-3.3546488
12800,-3.6177993
12900,-3.090336
13000,-3.1608083
13100,-1.8736806
13200,-1.7127064
13300,-3.4642897
13400,-2.519044
13500,-1.9787968
13600,-1.6755768
13700,-2.1909008
13800,-2.6620743
13900,-3.0866218
14000,-3.480023
14100,-3.108296
14200,-3.0557868
14300,-1.6768643
14400,-1.8775543
14500,-3.1504977
14600,-2.5563667
14700,-1.657286
14800,-3.0609078
14900,-2.0099993
15000,-1.6885023
15100,-3.3623137
15200,-3.349601
15300,-3.6752067
15400,-2.2153046
15500,-2.920678
15600,-2.6373916
15700,-2.1000328
15800,-2.291041
15900,-3.1403906
16000,-2.1571343
16100,-2.1097825
16200,-3.026412
16300,-1.7958966
16400,-2.2935073
16500,-3.097034
16600,-1.8906369
16700,-3.1342728
16800,-2.9917219
16900,-3.0914755
17000,-2.0814466
17100,-3.8663778
17200,-3.8655388
17300,-2.9460883
17400,-3.0578697
17500,-2.981792
17600,-2.809314
17700,-3.2320774
17800,-3.4833174
17900,-3.2696826
18000,-3.534243
18100,-1.7372551
18200,-2.7826703
18300,-3.0759058
18400,-2.2704532
18500,-3.0856478
18600,-3.966638
18700,-3.592624
18800,-3.6942992
18900,-3.0640554
19000,-2.7935553
19100,-2.2905493
19200,-3.183878
19300,-3.0456586
19400,-1.7499963
19500,-2.72107
19600,-2.0710714
19700,-2.0859704
19800,-2.9052722
19900,-2.3870363
20000,-2.3121874
20100,-1.7565411
20200,-2.06497
20300,-1.7300322
20400,-1.7675916
20500,-2.8466394
20600,-3.5753381
20700,-3.292855
20800,-2.0654302
20900,-3.0710692
21000,-2.5536582
21100,-1.8416548
21200,-2.5599482
21300,-1.7430748
21400,-2.2559988
21500,-3.3378043
21600,-2.0853083
21700,-2.8003283
21800,-2.6843004
21900,-2.9617972
22000,-2.9848936
22100,-1.8937025
22200,-2.3194492
22300,-2.8847525
22400,-1.7181555
22500,-2.3525932
22600,-1.7246436
22700,-2.8371987
22800,-2.6780198
22900,-2.0614827
23000,-2.2979815
23100,-2.668092
23200,-3.097147
23300,-2.720665
23400,-2.278922
23500,-2.9816592
23600,-2.249902
23700,-1.7127099
23800,-3.0676851
23900,-1.76545
24000,-2.433907
24100,-2.3199406
24200,-2.7717063
24300,-2.6711426
24400,-1.7788246
24500,-2.725665
24600,-2.4354343
24700,-2.0935676
24800,-2.2586098
24900,-2.6182773
25000,-2.7399697
25100,-2.3522813
25200,-2.379595
25300,-2.532499
25400,-2.5684316
25500,-2.1838815
25600,-2.5499926
25700,-2.296654
25800,-2.5847008
25900,-2.453867
26000,-1.7038237
26100,-2.0179112
