MAE,MSE,RMSE,95th_Percentile,99th_Percentile,Convergence_Rate,param
2.154578447341919,7.526689529418945,2.743481397628784,5.492378234863281,7.176714897155762,4.513080768829341e-05,SAC
1.7663142681121826,4.938087463378906,2.2221808433532715,4.355358123779297,5.628147602081299,8.835576040899097e-05,PPO
2.3978347778320312,8.94048023223877,2.9900636672973637,5.796851634979248,7.362411499023437,-7.054058444218672e-05,TD3
1.9916934967041016,6.217755317687988,2.4935426712036133,4.909208297729492,6.111826419830322,-5.080776867336675e-05,DDPG
