timestep,average_reward
100,-6.046423
200,-15.647116
300,-3.2703555
400,-3.0799608
500,-2.5147898
600,-3.0606098
700,-2.508892
800,-2.3029003
900,-2.4331093
1000,-2.2944264
1100,-2.4640484
1200,-2.4742625
1300,-2.170662
1400,-2.3334622
1500,-2.2784393
1600,-2.469213
1700,-2.439079
1800,-2.3298974
1900,-1.9665098
2000,-2.3602836
2100,-2.2095335
2200,-2.438982
2300,-2.2026196
2400,-2.4908433
2500,-2.4836385
2600,-1.9820827
2700,-2.3587203
2800,-2.2718008
2900,-2.1904168
3000,-2.4406545
3100,-2.1691773
3200,-2.2148457
3300,-2.223855
3400,-2.1153054
3500,-1.8148198
3600,-2.0516076
3700,-2.0515313
3800,-2.0100935
3900,-2.044784
4000,-2.2973073
4100,-2.0707958
4200,-1.7973392
4300,-1.7781076
4400,-2.2792883
4500,-2.2148979
4600,-2.4176874
4700,-2.1896467
4800,-2.0575233
4900,-1.920464
5000,-1.8028352
5100,-2.2002535
5200,-2.3406582
5300,-2.2459059
5400,-1.8071983
5500,-1.9813812
5600,-2.26034
5700,-2.1809216
5800,-2.1251497
5900,-2.2193089
6000,-1.960154
6100,-2.1684928
6200,-2.11088
6300,-2.3712199
6400,-1.8536487
6500,-2.2226374
6600,-2.1437876
6700,-2.1088479
6800,-1.787822
6900,-1.854539
7000,-1.8876096
7100,-1.9473288
7200,-1.9361486
7300,-2.0807528
7400,-2.2756739
7500,-1.8710394
7600,-2.1665468
7700,-2.1670628
7800,-1.9944656
7900,-1.9007976
8000,-1.9494098
8100,-2.3606694
8200,-2.3773692
8300,-2.39083
8400,-2.2672307
8500,-1.9705212
8600,-2.1743798
8700,-2.2575305
8800,-1.8402095
8900,-1.9829135
9000,-2.40558
9100,-2.0996253
9200,-2.1689699
9300,-2.2377996
9400,-1.9188871
9500,-1.8381151
9600,-1.8669506
9700,-2.281066
9800,-1.873683
9900,-2.0699623
10000,-1.9058294
10100,-1.9335879
10200,-2.1979816
10300,-1.9998689
10400,-2.305577
10500,-2.1486654
10600,-2.2797062
10700,-2.1611469
10800,-2.2791464
10900,-2.40167
11000,-1.9933331
11100,-1.8915597
11200,-1.9878621
11300,-2.4746888
11400,-1.8659569
11500,-2.347849
11600,-2.3792295
11700,-2.2455153
11800,-2.0769868
11900,-2.4893923
12000,-2.4662533
12100,-2.3721218
12200,-2.4201484
12300,-2.3436193
12400,-2.2443573
12500,-1.954363
12600,-1.8844181
12700,-1.8159268
12800,-1.8535672
12900,-1.8994533
13000,-2.1250446
13100,-2.1056511
13200,-1.8831562
13300,-1.8048873
13400,-2.170265
13500,-2.110898
13600,-2.512003
13700,-1.8518507
13800,-2.1018336
13900,-2.173369
14000,-2.409793
14100,-2.301581
14200,-2.4500191
14300,-2.543957
14400,-1.9069344
14500,-1.8707134
14600,-1.9200697
14700,-2.0635095
14800,-2.0547945
14900,-2.2619948
15000,-2.284634
15100,-2.384007
15200,-2.2046044
15300,-2.4750082
15400,-1.9177082
15500,-2.0762537
15600,-1.928122
15700,-1.8475696
15800,-2.103312
15900,-2.245984
16000,-2.3984392
16100,-2.0139124
16200,-2.1143262
16300,-2.2123706
16400,-2.1804888
16500,-1.9305218
16600,-2.3313453
16700,-1.9602586
16800,-2.1149597
16900,-2.1141675
17000,-2.2555838
17100,-2.090856
17200,-1.8822947
17300,-1.9092599
17400,-1.7339119
17500,-1.8869188
17600,-2.107125
17700,-2.1307924
17800,-1.8848825
17900,-1.9780056
18000,-2.019424
18100,-2.1853914
18200,-1.9155879
18300,-2.1961038
18400,-2.3530893
18500,-2.0541472
18600,-2.2194529
18700,-2.3087406
18800,-2.0836287
18900,-2.427271
19000,-1.818718
19100,-1.9143535
19200,-1.7246214
19300,-2.3857212
19400,-2.0842576
19500,-2.2309186
19600,-2.1645865
19700,-2.3523178
19800,-2.1020293
19900,-2.3735921
20000,-2.1774104
20100,-1.750856
20200,-2.1283045
20300,-2.1434236
20400,-2.052407
20500,-2.3681939
20600,-1.8770576
20700,-2.0997472
20800,-1.9252267
20900,-2.2717419
21000,-2.486792
21100,-2.0874312
21200,-2.0654535
21300,-2.3895178
21400,-2.1074162
21500,-2.4192147
21600,-1.8126596
21700,-2.1345346
21800,-2.3778362
21900,-2.2587507
22000,-1.8987498
22100,-2.2619507
22200,-1.7815585
22300,-2.0658796
22400,-2.1180494
22500,-2.2146509
22600,-1.9201542
22700,-2.137419
22800,-2.29733
22900,-2.0511112
23000,-2.0719917
23100,-2.4594052
23200,-2.2190163
23300,-2.3667746
23400,-2.3772466
23500,-2.2913544
23600,-2.2935152
23700,-1.94299
23800,-2.130615
23900,-1.9324121
24000,-2.2092626
24100,-2.1586568
24200,-2.4388056
24300,-2.5057101
24400,-1.8166846
24500,-2.4132252
24600,-2.2092729
24700,-2.5559447
24800,-2.2034864
24900,-2.2067666
25000,-1.9792181
25100,-2.3779268
25200,-2.166509
25300,-1.9469033
25400,-1.9200659
25500,-2.6196823
25600,-1.9399791
25700,-2.1854265
25800,-1.9168583
25900,-1.910992
26000,-2.016064
26100,-2.2230654
26200,-2.3481095
26300,-2.0013647
26400,-2.1619608
26500,-2.4473226
26600,-2.479607
26700,-1.8806102
26800,-2.7512314
26900,-2.5953515
27000,-2.1657305
27100,-2.2688208
27200,-2.0421984
27300,-2.3810165
27400,-2.4703927
27500,-2.087165
27600,-2.3624363
27700,-1.9912511
27800,-1.9824286
27900,-2.4659376
28000,-2.11753
28100,-1.9067897
28200,-1.9330881
28300,-2.0382032
28400,-2.0335677
28500,-2.4384124
28600,-2.391987
28700,-1.8986455
28800,-1.9363129
28900,-2.01702
29000,-2.1562312
