timestep,average_reward
100,-5.6461287
200,-8.252259
300,-6.040033
400,-3.2470934
500,-2.7395563
600,-2.7924666
700,-2.62762
800,-1.9326526
900,-2.6454117
1000,-2.7161782
1100,-1.9481925
1200,-1.9312102
1300,-1.889402
1400,-2.3861017
1500,-1.9711002
1600,-2.4312146
1700,-2.6484659
1800,-2.4517133
1900,-2.691271
2000,-1.7491653
2100,-1.9318216
2200,-2.3788545
2300,-2.1724975
2400,-2.3036084
2500,-2.3441193
2600,-2.0668254
2700,-2.4992075
2800,-1.7756639
2900,-2.491874
3000,-2.5564225
3100,-2.7210581
3200,-2.415789
3300,-1.7297845
3400,-2.1550422
3500,-1.9952197
3600,-2.6459982
3700,-2.6519544
3800,-2.1921213
3900,-2.2730503
4000,-2.1922934
4100,-2.2485087
4200,-1.6403794
4300,-2.5395443
4400,-2.585033
4500,-1.6450347
4600,-2.408416
4700,-2.4240043
4800,-1.7466867
4900,-2.5489445
5000,-2.2512329
5100,-2.5256822
5200,-2.5357466
5300,-1.8041741
5400,-2.5041785
5500,-1.8840657
5600,-2.5035753
5700,-2.2388618
5800,-2.1237345
5900,-2.4205058
6000,-1.8956542
6100,-2.5568411
6200,-2.2858057
6300,-2.1412394
6400,-1.7306993
6500,-2.2771606
6600,-1.572663
6700,-2.5115967
6800,-2.273092
6900,-2.4246247
7000,-2.3462918
7100,-2.046993
7200,-1.8994076
7300,-1.7204629
7400,-2.0038042
7500,-2.3518267
7600,-1.7202568
7700,-2.0838163
7800,-2.4157538
7900,-1.9580159
8000,-2.1731312
8100,-1.9221362
8200,-1.965343
8300,-2.0220222
8400,-1.762497
8500,-2.3311262
8600,-2.2696807
8700,-2.2762132
8800,-2.0086236
8900,-2.4324307
9000,-2.5832279
9100,-2.2794576
9200,-2.28274
9300,-2.2948656
9400,-2.087953
9500,-2.231508
9600,-2.0438876
9700,-1.9112991
9800,-2.3343406
9900,-1.8913301
10000,-2.0667639
10100,-1.9611529
10200,-2.0004215
10300,-1.9412439
10400,-2.3143759
10500,-2.2448359
10600,-1.8839469
10700,-2.500999
10800,-2.485116
10900,-2.048958
11000,-2.3217177
11100,-2.4336417
11200,-2.2260487
11300,-2.1438675
11400,-2.0411322
11500,-2.0583854
11600,-2.0681202
11700,-1.7496856
11800,-1.7772772
11900,-2.0500815
12000,-1.7881942
12100,-2.2411268
12200,-2.1015563
12300,-2.036805
12400,-1.828295
12500,-2.0168383
12600,-2.1057823
12700,-2.151187
12800,-2.4803622
12900,-2.4969337
13000,-2.2516308
13100,-2.2204537
13200,-1.8462617
13300,-1.827704
13400,-1.837358
13500,-2.3421264
13600,-1.8268546
13700,-1.9727136
13800,-1.9845661
13900,-1.7552773
14000,-2.471541
14100,-1.7654555
14200,-1.8617187
14300,-2.018306
14400,-2.358194
14500,-2.0186913
14600,-2.3012743
14700,-2.2116947
14800,-2.1596692
14900,-2.359971
15000,-2.5686185
15100,-1.7724905
15200,-1.8282039
15300,-2.2035394
15400,-1.7576628
15500,-2.3830876
15600,-1.9633251
15700,-2.295331
15800,-1.741823
15900,-2.0001287
16000,-1.834626
16100,-1.8822801
16200,-2.4482458
16300,-2.371101
16400,-1.8687402
16500,-2.630756
16600,-1.8902342
16700,-1.7741774
16800,-1.8635069
16900,-1.8556616
17000,-2.4531164
17100,-1.8914499
17200,-2.3052604
17300,-2.4264705
17400,-2.1456084
17500,-2.6231863
17600,-2.0137007
17700,-2.0784628
17800,-2.0661414
17900,-1.8571771
18000,-2.1661232
18100,-2.599644
18200,-1.9674383
18300,-2.5253725
18400,-1.7172654
18500,-2.5774953
18600,-2.3783429
18700,-2.3027158
18800,-1.8831968
18900,-1.9010543
19000,-2.635239
19100,-2.0604033
19200,-1.671633
19300,-2.622866
19400,-2.80431
19500,-2.453776
19600,-2.4891486
19700,-2.3754451
19800,-2.4224594
19900,-2.688798
20000,-2.1661909
20100,-2.046321
