MAE,MSE,RMSE,95th_Percentile,99th_Percentile,Convergence_Rate,param
1.9022328853607176,5.621351718902588,2.370939016342163,4.714511394500732,5.9981184005737305,9.727024308380932e-05,small
2.0500500202178955,6.479073524475098,2.5454025268554688,4.927415370941162,6.278096675872803,-9.42602316766229e-05,medium
2.365242481231689,8.711971282958984,2.9516048431396484,5.675677299499512,8.176084518432617,2.9312443117246265e-05,large
2.3090155124664307,8.261161804199219,2.8742237091064453,5.559008121490479,7.335809707641602,-6.79351478839406e-05,xlarge
