MAE,MSE,RMSE,95th_Percentile,99th_Percentile,Convergence_Rate,param
1.7397449016571045,4.779199600219727,2.186138153076172,4.20397424697876,5.667364597320557,1.912687013014491e-05,0.9
1.833112359046936,5.1639933586120605,2.272442102432251,4.443163871765137,5.668766498565674,5.760230877959186e-05,0.95
2.435706377029419,8.914013862609863,2.9856345653533936,5.811285495758057,7.27150821685791,5.672434919983941e-05,0.99
2.424212455749512,9.130928993225098,3.021742820739746,5.908181190490723,7.496885299682617,-1.4997238054138683e-05,0.999
