MAE,MSE,RMSE,95th_Percentile,99th_Percentile,Convergence_Rate,param
1.910470962524414,5.961275100708008,2.4415721893310547,4.8243279457092285,6.760072708129883,6.703749374379725e-05,64
2.1241304874420166,7.234796524047852,2.689757823944092,5.255458354949951,6.926158428192139,-8.864480460703451e-05,128
2.290362596511841,8.223671913146973,2.867694616317749,5.614115238189697,7.223400592803955,-3.858634519338376e-05,256
1.964518427848816,6.184813022613525,2.4869284629821777,4.963866233825684,6.264184951782227,-1.704686969926842e-05,512
