MAE,MSE,RMSE,95th_Percentile,99th_Percentile,Convergence_Rate,param
1.9526439905166624,5.80851936340332,2.4100871086120605,4.567619800567627,5.954938888549805,9.69615748524598e-06,1e-05
2.077739953994751,6.650245189666748,2.5788068771362305,4.931482791900635,6.569349765777588,3.713966236994321e-05,0.0001
2.026362657546997,6.597569942474365,2.568573474884033,5.072936534881592,6.549283027648926,-3.185399966447976e-05,0.001
2.179040670394897,7.351254940032959,2.7113196849823,5.224682807922363,7.029685020446777,3.890118582212379e-05,0.01
